sensorvalue_a,sensorvalue_b,sensorvalue_c,sensorvalue_d
1469,1469,1202,0
1464,1467,1201,0
1469,1476,1193,0
1469,1467,1202,0
1465,1473,1200,0
1465,1470,1202,0
1468,1468,1201,0
1471,1470,1196,0
1469,1469,1197,0
1468,1477,1194,0
1468,1468,1190,0
1468,1473,1197,0
1469,1472,1197,0
1466,1474,1194,0
1468,1472,1202,0
1473,1473,1200,0
1469,1469,1199,0
1468,1476,1202,0
1468,1473,1202,0
1472,1473,1204,0
1466,1473,1200,0
1464,1473,1205,0
1471,1471,1203,0
1466,1476,1197,0
1468,1473,1203,0
1468,1472,1197,0
1465,1471,1202,0
1470,1468,1200,0
1471,1473,1201,0
1466,1473,1194,0
1467,1473,1199,0
1465,1471,1200,0
1469,1465,1197,0
1461,1474,1202,0
1469,1468,1194,0
1470,1468,1202,0
1466,1470,1196,0
1468,1470,1200,0
1466,1476,1199,0
1466,1466,1201,0
1473,1756,1533,1
1478,1761,1531,1
1476,1764,1532,1
1468,1761,1532,1
1477,1753,1531,1
1467,1759,1531,1
1477,1760,1538,1
1472,1759,1537,1
1474,1757,1533,1
1478,1761,1533,1
1475,1756,1530,1
1480,1763,1531,1
1478,1761,1543,1
1476,1759,1538,1
1476,1759,1532,1
1476,1758,1536,1
1476,1756,1531,1
1476,1755,1537,1
1481,1758,1535,1
1473,1758,1529,1
1475,1755,1538,1
1480,1760,1532,1
1475,1755,1535,1
1472,1760,1531,1
1476,1761,1536,1
1473,1760,1536,1
1477,1759,1533,1
1481,1758,1536,1
1477,1753,1531,1
1477,1763,1534,1
1479,1763,1534,1
1476,1762,1534,1
1475,1759,1536,1
1476,1762,1535,1
1475,1760,1536,1
1480,1762,1534,1
1478,1756,1531,1
1474,1761,1531,1
1474,1756,1538,1
1476,1758,1535,1
1451,1476,1786,1
1454,1476,1785,1
1447,1470,1792,1
1445,1474,1784,1
1447,1467,1788,1
1448,1456,1790,1
1449,1454,1790,1
1447,1451,1785,1
1445,1452,1789,1
1448,1454,1789,1
